"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Ukraine","UKR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","663000000","183000000","110000000","292000000","268000000","421000000","428000000","577000000","754000000","644000000","744000000","746000000","727000000","1072000000","552000000","",
"Ukraine","UKR","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17809000000","17915000000","20523000000","22693000000","18791000000","15214000000","18007000000","20216000000","20932000000","26865000000","35515000000","43695000000","54479000000","73858000000","103807000000","61101000000","76332000000","103078000000","110909000000","108153000000","77076000000","",
"Ukraine","UKR","Transport services (% of service imports, BoP)","BM.GSR.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1155115511551","34.9375339489408","33.1297709923664","40.9921026653504","30.6833910034602","32.1192573945878","27.8114025255922","27.66467886764","25.069793411502","21.856215436403","",
"Ukraine","UKR","Travel services (% of service imports, BoP)","BM.GSR.TRVL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.029702970297","30.7876154263987","30.2714164546226","24.821076011846","28.8062283737024","29.4367526746381","33.3333333333333","34.9852628692851","35.7528382654011","40.5626352488579","",
"Ukraine","UKR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000000","10000000","-5000000","42000000","-4000000","7000000","1000000","23000000","-5000000","13000000","4000000","275000000","-133000000","975000000","797000000","115000000","692000000","192000000","980000000","430000000","548000000","",
"Ukraine","UKR","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.015225512030115","0.0207405399612754","-0.0112213101491174","0.0837480834976085","-0.00955035886048506","0.0221652531148203","0.00319880049391427","0.0605114354277878","-0.011794428944688","0.0259310476389969","0.00616493728141218","0.3192402571514","-0.123430358741016","0.683160568922386","0.442796459280886","0.098099622815037","0.507259601928376","0.117676137757877","0.557510701809465","0.234575122270164","0.415765314719594","",
"Ukraine","UKR","Secondary income, other sectors, payments (BoP, current US$)","BM.TRF.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000000","36000000","48000000","66000000","239000000","324000000","542000000","1005000000","775000000","1047000000","1011000000","1173000000","1916000000","1851000000","",
"Ukraine","UKR","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","4000000","3000000","3000000","10000000","5000000","15000000","29000000","20000000","186000000","255000000","353000000","714000000","613000000","703000000","849000000","1003000000","1716000000","1702000000","",
"Ukraine","UKR","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1163000000","-1152000000","-1184000000","-1335000000","-1296000000","1658000000","1481000000","1402000000","3174000000","2891000000","6909000000","2534000000","-1619000000","-5251000000","-12781000000","-1736000000","-3016000000","-10233000000","-14335000000","-16518000000","-4596000000","",
"Ukraine","UKR","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.21340881137797","-2.38931020353893","-2.65720624331101","-2.66199265403113","-3.09431627079716","5.24999852348173","4.73742353148703","3.68856662911994","7.48710349408795","5.76666605571848","10.6483879193192","2.94165386044236","-1.5025094045241","-3.67925758708866","-7.10085513935886","-1.48087778440786","-2.21083086620807","-6.27177040456434","-8.15501623514152","-9.01095783641528","-3.48696603367017","",
